"species","longitude","latitude"
"Cetorhinus maximus",-67.25,49.75
"Cetorhinus maximus",-70.25,40.25
"Cetorhinus maximus",-70.75,40.25
"Cetorhinus maximus",-70.25,40.75
"Cetorhinus maximus",-70.75,40.75
"Cetorhinus maximus",-71.25,40.25
"Cetorhinus maximus",-71.75,40.25
"Cetorhinus maximus",-71.25,40.75
"Cetorhinus maximus",-71.75,40.75
"Cetorhinus maximus",-72.25,40.25
"Cetorhinus maximus",-72.75,40.25
"Cetorhinus maximus",-72.25,40.75
"Cetorhinus maximus",-72.75,40.75
"Cetorhinus maximus",-73.25,40.25
"Cetorhinus maximus",-73.75,40.25
"Cetorhinus maximus",-73.25,40.75
"Cetorhinus maximus",-70.25,41.25
"Cetorhinus maximus",-70.75,41.25
"Cetorhinus maximus",-70.25,41.75
"Cetorhinus maximus",-71.25,41.25
"Cetorhinus maximus",-71.75,41.25
"Cetorhinus maximus",-72.25,41.25
"Cetorhinus maximus",-70.25,42.25
"Cetorhinus maximus",-70.75,42.25
"Cetorhinus maximus",-70.25,42.75
"Cetorhinus maximus",-70.75,42.75
"Cetorhinus maximus",-70.25,43.25
"Cetorhinus maximus",-70.75,43.25
